_id,X,Y,FID,Latitude,Longitude
1,-8898095.8482,4921740.3987,1,-79.932955,40.382894
2,-8896177.1455,4926460.9761,2,-79.915719,40.415188
3,-8895425.2936,4934083.5241,3,-79.908965,40.467302
4,-8902593.4896,4932427.2814,4,-79.973358,40.455982
5,-8900032.2507,4928115.4828,5,-79.95035,40.426503
6,-8902975.2041,4927690.9726,6,-79.976787,40.4236
7,-8906258.5725,4925757.4381,7,-80.006282,40.410376
8,-8905291.874,4923437.8151,8,-79.997598,40.394508
9,-8903463.674,4933849.7019,9,-79.981175,40.465704
10,-8906439.8006,4934646.1541,10,-80.00791,40.471147
11,-8906407.9633,4935463.5981,11,-80.007624,40.476733
12,-8906705.8542,4931727.5588,12,-80.0103,40.451199
13,-8908883.8201,4929019.8399,13,-80.029865,40.432687
14,-8911517.3052,4933735.5729,14,-80.053522,40.464924
15,-8898152.7325,4932466.197,15,-79.933466,40.456248
16,-8898642.3156,4928406.7867,16,-79.937864,40.428495
17,-8903295.025,4933627.4442,17,-79.97966,40.464185
18,-8906112.9666,4934822.3393,18,-80.004974,40.472351
19,-8906747.0424,4931789.0002,19,-80.01067,40.451619
20,-8907190.428,4932123.7159,20,-80.014653,40.453907
21,-8896536.7074,4933691.0922,21,-79.918949,40.46462
22,-8894465.0517,4930016.8642,22,-79.900339,40.439504
23,-8899210.7129,4932224.0744,23,-79.94297,40.454593
24,-8900008.2057,4929272.7063,24,-79.950134,40.434416
25,-8909307.3907,4930100.9658,25,-80.03367,40.440079
26,-8909009.945,4929179.6905,26,-80.030998,40.43378
27,-8912656.9942,4928246.9487,27,-80.06376,40.427402
28,-8912726.0123,4928338.2008,28,-80.06438,40.428026
29,-8911620.8324,4933172.4097,29,-80.054452,40.461075
30,-8898288.5422,4921311.1948,30,-79.934686,40.379957
31,-8898085.7181,4921837.4361,31,-79.932864,40.383558
32,-8898140.5986,4921808.0617,32,-79.933357,40.383357
33,-8899343.7397,4925254.3779,33,-79.944165,40.406935
34,-8899313.3495,4924774.4406,34,-79.943892,40.403652
35,-8895108.2557,4928058.0127,35,-79.906117,40.42611
36,-8894527.3906,4932072.0742,36,-79.900899,40.453554
37,-8895273.5652,4934144.5412,37,-79.907602,40.467719
38,-8898356.0019,4932239.8743,38,-79.935292,40.454701
39,-8899712.8751,4932573.435,39,-79.947481,40.456981
40,-8897420.0276,4928185.5295,40,-79.926884,40.426982
41,-8896360.0434,4936107.094,41,-79.917362,40.48113
42,-8906057.9748,4929786.7952,42,-80.00448,40.437931
43,-8903954.927,4927993.6701,43,-79.985588,40.42567
44,-8904289.1081,4927631.7503,44,-79.98859,40.423195
45,-8902700.4676,4927636.5758,45,-79.974319,40.423228
46,-8901511.5755,4925658.9,46,-79.963639,40.409702
47,-8902046.6882,4926044.7247,47,-79.968446,40.412341
48,-8905990.7378,4925139.1791,48,-80.003876,40.406147
49,-8905288.6458,4923195.1838,49,-79.997569,40.392848
50,-8905214.0617,4922453.5878,50,-79.996899,40.387774
51,-8905076.8048,4922070.9729,51,-79.995666,40.385156
52,-8904862.6261,4921159.8015,52,-79.993742,40.378921
53,-8904951.9043,4920844.455,53,-79.994544,40.376763
54,-8903230.7937,4933597.5957,54,-79.979083,40.463981
55,-8904191.2582,4932782.3551,55,-79.987711,40.458409
